Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition
,Male,Married,,Assistant,3.0,19752.0,89,14.0,12,7,2.0,1.0,3,8,0.0,6.0,54,7,1,4,2,18.0,4,0
28.0,Female,Married,Sales,Manager,2.0,4762.0,25,19.0,10,6,3.0,,2,57,0.0,7.0,51,10,4,3,4,21.0,2,1
45.0,Female,Married,Finance,Analyst,5.0,19760.0,87,15.0,8,8,3.0,1.0,2,3,0.0,2.0,32,3,1,4,2,45.0,1,0
21.0,Male,Divorced,Sales,Executive,1.0,3002.0,69,21.0,11,7,4.0,5.0,4,71,0.0,8.0,32,16,3,1,2,6.0,2,0
39.0,Male,Single,HR,Analyst,2.0,3763.0,17,3.0,8,6,,1.0,1,18,0.0,7.0,45,12,2,1,2,44.0,1,0
47.0,Female,,HR,Executive,1.0,18754.0,92,9.0,5,8,,,1,84,1.0,1.0,51,8,2,4,3,29.0,1,0
26.81389904,Female,Married,HR,,1.0,5482.0,30,25.0,13,9,4.0,4.0,2,13,1.0,8.0,45,8,1,2,3,19.0,3,1
27.0,Female,Single,Marketing,Manager,2.0,,23,10.0,12,4,2.0,2.0,3,0,1.0,7.0,36,3,4,1,2,47.0,1,0
,Male,Single,,Assistant,2.0,16054.0,82,29.0,13,2,4.0,3.0,1,19,1.0,2.0,49,14,4,4,1,39.0,3,0
33.0,Male,Married,Marketing,Manager,5.0,,59,7.0,4,5,4.0,5.0,3,82,1.0,3.32759503,42,7,1,1,1,46.0,1,0
36.0,Female,Divorced,HR,Executive,2.0,9049.0,16,14.0,11,8,2.0,5.0,3,79,1.0,6.0,36,6,2,1,1,4.0,1,0
55.0,Male,Single,Finance,,5.0,12256.0,36,17.0,7,5,,,4,73,0.0,6.0,32,19,3,2,3,44.0,1,0
59.0,Female,Single,HR,Executive,1.0,,83,25.0,9,2,4.0,4.0,1,65,1.0,4.0,48,16,1,2,1,39.0,1,1
23.0,Female,Divorced,Marketing,Manager,2.0,10424.0,63,14.0,13,1,3.0,5.0,2,64,1.0,8.0,42,19,2,1,4,41.0,4,0
21.0,,Divorced,HR,Assistant,5.0,9786.0,35,25.0,2,4,1.0,4.0,2,7,0.0,2.0,49,16,4,3,1,34.0,4,1
25.0,Female,Single,HR,Assistant,5.0,,88,,12,7,3.0,1.0,2,8,1.0,3.0,57,12,4,2,4,44.0,1,1
23.0,Male,Divorced,Marketing,Analyst,3.0,14084.0,69,5.0,7,7,2.0,1.0,4,38,1.0,7.0,47,11,1,2,2,3.0,3,0
48.0,Male,Single,Marketing,Executive,5.0,7465.0,18,27.0,6,0,1.0,1.0,4,63,0.0,4.0,36,11,1,4,2,46.0,3,0
37.0,Female,Married,Finance,Executive,5.0,,72,18.0,3,2,1.0,5.0,2,56,0.0,8.0,34,1,3,4,2,28.0,2,0
53.25973984,Female,Single,,,4.0,11238.0,73,17.0,1,0,3.0,2.0,2,14,,6.0,54,11,3,3,4,10.0,3,0
29.0,Male,Divorced,IT,,2.0,,40,18.0,2,5,2.0,3.0,2,79,0.0,6.0,46,17,3,1,1,13.0,1,0
55.0,Female,,,Manager,3.0,,88,4.593073944,12,3,2.0,4.0,3,84,1.0,6.0,58,7,1,3,4,29.0,4,1
33.0,Female,Single,Marketing,Analyst,5.0,7927.0,83,20.0,5,8,1.0,5.0,2,24,,8.0,45,2,3,4,3,,1,0
50.0,Female,Married,HR,Assistant,5.0,13858.0,53,1.0,1,1,3.0,2.0,1,87,0.0,2.0,42,13,1,1,1,23.0,3,0
34.0,Male,Single,,Manager,2.0,18295.0,15,13.0,8,9,3.0,3.0,4,15,0.0,2.0,41,2,4,3,3,23.0,2,0
27.0,Female,Divorced,HR,Assistant,1.0,,71,29.0,4,4,2.0,1.0,1,48,,6.0,39,3,3,1,4,27.0,4,0
33.0,Male,Single,Marketing,,3.0,9179.0,62,24.0,3,4,3.0,4.0,2,72,1.0,7.0,47,1,4,1,2,44.0,4,0
42.0,Male,Divorced,Finance,Analyst,4.0,5454.0,86,10.0,10,5,1.0,5.0,2,78,1.0,6.0,49,13,2,4,3,6.0,3,0
59.0,Male,Single,HR,Assistant,2.0,7060.0,35,28.0,2,4,2.0,2.0,1,47,0.0,3.0,34,17,3,3,2,19.0,2,0
40.0,Male,Married,IT,Analyst,2.0,17747.0,45,15.0,1,9,4.0,1.0,1,76,1.0,6.0,36,8,4,4,1,25.0,1,0
35.0,Male,Married,Marketing,Manager,3.0,14955.0,72,24.0,8,9,4.0,3.0,4,59,0.0,3.0,50,1,2,4,1,13.0,3,1
37.0,Female,Married,HR,Analyst,5.0,11970.0,61,24.0,9,8,,2.0,1,60,0.0,1.0,58,4,3,1,4,11.0,2,0
43.0,Male,Married,HR,Manager,5.0,17226.0,37,5.0,3,0,3.0,3.0,2,43,,4.0,30,2,4,4,4,46.0,2,0
45.0,Female,Single,Finance,Analyst,4.0,16119.0,89,26.18685609,3,7,2.0,5.0,4,23,0.0,4.0,49,14,4,3,3,6.0,2,0
48.0,,Single,Finance,Manager,2.0,4601.0,21,4.829068741,7,8,,4.0,1,32,1.0,6.0,44,15,4,1,1,19.0,4,0
,Female,Divorced,Sales,Manager,3.0,,63,1.194965482,12,9,2.0,1.0,2,11,0.0,5.0,41,2,2,3,3,23.0,3,0
20.0,Female,Divorced,Marketing,Assistant,1.0,18744.0,45,10.0,12,6,1.0,2.0,4,9,1.0,1.0,31,8,2,1,2,32.0,1,1
44.0,Male,Divorced,Marketing,Executive,2.0,6675.0,61,17.0,9,2,4.0,5.0,2,30,0.0,2.0,46,6,1,2,2,43.0,2,0
26.0,Female,Married,IT,Analyst,4.0,,82,28.0,2,7,2.0,5.0,2,55,1.0,6.0,43,10,4,1,2,49.0,1,0
,Male,Married,IT,Executive,4.0,4005.0,49,26.0,7,9,2.0,3.0,2,3,0.0,3.0,59,12,3,3,3,21.0,4,0
20.0,Male,Divorced,HR,Executive,5.0,14845.0,48,4.0,13,2,1.0,4.0,3,9,0.0,1.0,45,16,1,3,4,26.0,3,1
27.0,Female,Divorced,Marketing,Executive,2.0,,72,12.0,8,3,1.0,5.0,4,66,0.0,7.0,49,3,4,2,4,23.0,4,0
43.0,Female,Divorced,Sales,Analyst,2.0,19230.0,29,27.0,11,2,4.0,5.0,4,21,0.0,3.0,45,10,2,3,3,,3,0
30.0,Female,Divorced,IT,Analyst,1.0,18389.0,92,28.0,4,5,2.0,5.0,4,84,1.0,6.0,55,17,1,4,3,8.0,1,0
36.0,Female,Single,IT,Executive,2.0,7970.0,99,11.0,13,6,1.0,1.0,3,37,0.0,1.0,32,19,3,2,1,4.0,4,0
27.0,Male,Single,IT,Analyst,3.0,18092.0,85,3.0,10,2,2.0,1.0,4,45,0.0,1.172870867,43,16,4,2,2,,2,0
,Male,Married,,Analyst,3.0,,95,28.0,11,2,4.0,5.0,3,66,1.0,1.0,57,8,2,3,4,20.0,4,0
52.0,Male,Divorced,IT,Analyst,5.0,10882.0,32,,12,9,,5.0,1,50,0.0,2.0,33,8,3,3,1,49.0,3,0
24.0,Female,Single,Marketing,Assistant,4.0,11343.0,92,24.0,2,8,3.0,3.0,2,59,1.0,8.0,33,18,2,1,4,40.0,1,1
,Male,Single,HR,Executive,1.0,19555.0,52,4.0,2,2,,3.0,4,58,0.0,9.0,50,5,2,2,4,48.0,3,0
47.0,,Married,IT,Analyst,2.0,8524.0,78,3.0,4,5,1.0,1.0,4,4,1.0,6.0,30,1,2,3,2,47.0,2,0
26.0,Male,,IT,,4.0,4429.0,43,25.0,4,4,2.0,3.0,4,2,,9.0,59,0,3,1,3,31.0,1,0
28.0,Male,Married,IT,Analyst,2.0,,24,12.0,5,7,1.0,3.0,3,63,1.0,7.0,30,0,2,4,1,8.0,4,0
,,Divorced,,Executive,4.0,13090.0,31,12.0,10,8,3.0,4.0,1,93,0.0,3.0,45,19,4,2,3,35.0,4,0
31.0,Female,Divorced,Marketing,Assistant,2.0,10432.0,46,17.0,14,7,3.0,4.0,2,46,1.0,9.0,42,7,3,4,3,29.0,3,0
53.0,Female,Married,IT,Analyst,4.0,17069.0,75,24.0,10,0,2.0,5.0,2,39,1.0,7.324155076,55,13,3,3,3,6.0,2,0
52.0,Male,Divorced,Sales,Analyst,3.0,19483.0,98,21.0,13,6,2.0,2.0,2,7,0.0,5.30617186,43,5,3,2,2,11.0,2,0
42.0,Female,Divorced,HR,Assistant,1.0,16875.0,95,8.0,10,7,4.0,2.0,4,55,0.0,7.0,50,13,4,2,2,25.0,2,1
,Male,Single,HR,Analyst,4.0,16196.0,60,10.0,9,4,2.0,4.0,4,76,1.0,3.0,51,9,4,2,1,4.0,2,0
56.0,Male,Single,Sales,Executive,3.0,19970.0,85,,11,3,1.0,5.0,2,53,0.0,1.0,44,5,3,1,1,41.0,4,0
59.0,Male,Single,Finance,Manager,4.0,19639.0,75,15.0,7,5,2.0,3.0,2,76,0.0,8.0,33,13,1,1,1,30.0,3,0
41.0,Female,Single,HR,Executive,2.0,,58,,6,1,,5.0,1,5,,4.0,44,1,3,1,1,18.0,3,0
,Male,Married,Finance,Analyst,1.0,16966.0,52,11.0,10,8,1.0,,4,73,0.0,6.615715435,37,17,4,4,4,34.0,2,0
,Female,Married,Sales,Executive,3.0,16696.0,64,7.0,5,2,3.0,2.0,2,52,0.0,5.126808233,34,18,2,4,4,39.0,3,0
,Male,Single,Finance,Assistant,3.0,,88,,4,0,3.0,2.0,4,25,0.0,6.0,54,9,1,3,3,21.0,1,1
54.0,Male,Divorced,HR,,1.0,8112.0,46,7.0,2,2,2.0,2.0,1,69,1.0,1.0,47,15,1,3,3,32.0,2,0
56.0,Female,Divorced,IT,Analyst,4.0,4580.0,67,23.0,4,0,2.0,1.0,1,25,0.0,2.0,51,0,4,1,2,46.0,2,0
33.0,Male,Married,Finance,Assistant,2.0,,62,18.0,11,9,2.0,3.0,3,27,1.0,9.0,59,18,4,1,1,41.0,3,0
22.0,Male,Married,HR,Manager,5.0,7590.0,95,19.0,7,6,3.0,3.0,3,75,0.0,3.0,54,6,3,3,3,7.0,4,0
20.52925185,Female,Married,,Analyst,4.0,19465.0,15,16.0,1,5,1.0,3.0,4,52,0.0,2.0,43,14,1,4,1,22.0,3,0
24.0,Female,Divorced,Sales,Analyst,1.0,6012.0,44,22.0,3,7,4.0,3.0,4,60,0.0,5.0,50,12,2,2,1,34.0,1,0
45.0,,Married,Sales,Analyst,4.0,8301.0,23,3.0,4,3,1.0,,4,39,1.0,5.0,42,5,4,4,2,49.0,3,0
33.0,Male,Divorced,Marketing,Manager,4.0,6112.0,47,25.0,7,5,,3.0,2,67,0.0,6.0,50,8,3,1,2,32.0,3,0
58.0,Male,Married,,Executive,1.0,9588.0,40,25.0,3,2,3.0,1.0,4,87,1.0,3.0,42,12,3,3,2,9.0,4,0
46.0,,Divorced,Marketing,Manager,1.0,,56,6.0,4,3,4.0,5.0,4,14,0.0,5.0,40,15,3,3,1,43.0,3,1
,Female,Married,Sales,Executive,5.0,17067.0,88,1.627530646,1,5,2.0,2.0,2,87,0.0,5.0,50,5,2,2,1,33.0,3,0
34.0,Male,Married,Sales,Analyst,1.0,5104.0,56,1.0,12,4,2.0,2.0,3,12,1.0,8.0,59,18,4,1,1,6.0,1,0
34.0,Male,Divorced,Sales,Executive,1.0,10726.0,53,15.0,1,1,2.0,2.0,2,66,0.0,5.0,56,14,2,2,2,24.0,4,0
45.0,Female,Married,Marketing,Executive,1.0,12790.0,75,20.0,10,8,2.0,3.0,1,90,1.0,1.681663627,35,7,4,1,4,15.0,1,0
32.0,,Single,Marketing,Executive,3.0,11770.0,61,11.0,12,1,1.0,2.0,1,44,0.0,1.0,59,10,1,3,1,13.0,4,0
51.0,Female,Divorced,Finance,Executive,1.0,,56,10.0,3,7,2.0,1.0,4,78,0.0,1.0,37,8,1,3,1,14.0,2,0
58.0,Female,Married,HR,Analyst,1.0,,62,24.0,7,4,4.0,3.0,4,25,1.0,9.0,45,1,4,2,4,14.0,4,1
51.0,Male,Divorced,HR,Assistant,1.0,3774.0,66,3.0,13,6,3.0,3.0,4,55,1.0,7.0,37,1,4,3,2,10.0,3,0
23.0,,Married,HR,Manager,5.0,,47,4.0,11,5,,1.0,2,22,0.0,3.0,30,4,2,3,2,27.0,1,0
49.0,Male,Single,Sales,Executive,4.0,10226.0,41,12.0,6,1,,5.0,3,38,0.0,2.0,49,5,4,4,4,45.0,2,0
56.0,Male,Married,HR,Analyst,1.0,3545.0,57,27.0,5,3,2.0,1.0,2,96,0.0,2.0,38,6,2,2,1,39.0,4,0
42.0,Female,Married,,Analyst,1.0,7906.0,43,6.0,8,8,2.0,1.0,4,20,1.0,6.0,43,4,1,3,2,13.0,3,0
,Male,Single,,,5.0,12605.0,33,27.0,11,6,1.0,1.0,3,13,0.0,6.0,41,10,4,1,4,39.0,2,0
34.0,Female,Divorced,IT,Analyst,4.0,,96,25.0,8,0,3.0,5.0,1,12,1.0,6.0,51,2,2,1,1,12.0,1,0
48.0,Male,Married,Finance,Executive,5.0,17501.0,42,20.0,4,3,1.0,2.0,3,31,0.0,2.0,34,1,2,1,2,,4,0
55.0,Male,Married,HR,Manager,2.0,15275.0,24,19.0,10,9,4.0,1.0,3,11,0.0,7.0,50,0,2,3,2,29.0,1,0
,Male,Single,HR,Analyst,2.0,6388.0,81,26.0,6,2,1.0,3.0,2,62,1.0,3.0,43,18,4,1,3,12.0,2,0
51.0,,Divorced,Marketing,Manager,2.0,13821.0,30,26.0,12,0,4.0,2.0,3,51,0.0,1.0,43,1,2,1,4,,3,0
26.0,Male,Divorced,Finance,Manager,1.0,3571.0,15,16.0,1,4,2.0,2.0,3,73,1.0,3.0,49,1,3,1,1,31.0,2,0
41.0,Female,Single,Marketing,Manager,5.0,19109.0,96,25.0,10,8,1.0,4.0,1,21,0.0,6.0,34,18,2,3,1,23.0,3,0
47.0,,,Marketing,Assistant,1.0,6927.0,18,23.0,14,3,2.0,,3,46,1.0,7.0,59,19,4,4,2,45.0,3,0
25.0,,Single,Marketing,Analyst,4.0,,99,27.0,10,6,4.0,3.0,1,92,1.0,8.0,38,2,4,4,1,19.0,2,0
47.0,Male,Single,Marketing,,4.0,13691.0,18,10.0,9,7,1.0,5.0,3,70,1.0,3.0,48,9,4,3,4,49.0,2,1
,Male,Divorced,Sales,Analyst,4.0,9613.0,77,20.0,5,9,2.0,2.0,3,92,0.0,2.681685656,30,3,2,1,1,1.0,1,0
49.0,Female,Single,Sales,Analyst,2.0,14092.0,97,,14,8,1.0,5.0,1,79,0.0,9.459883855,58,10,1,1,4,13.0,4,0
30.0,Female,Married,IT,Manager,5.0,11477.0,49,10.0,8,9,1.0,4.0,3,71,1.0,7.0,58,11,2,3,1,35.0,4,1
44.0,Male,Married,HR,Executive,2.0,6059.0,71,,10,3,1.0,5.0,1,58,1.0,2.0,50,12,3,2,1,9.0,1,0
58.0,Male,Single,Finance,Assistant,2.0,3050.0,38,3.0,1,3,4.0,5.0,2,72,0.0,4.0,41,8,1,3,2,13.0,1,0
52.0,Male,Divorced,HR,,2.0,8538.0,34,5.0,14,4,1.0,3.0,3,19,,8.0,39,0,4,2,2,35.0,3,0
20.0,Female,Single,HR,Executive,2.0,4725.0,42,29.0,4,0,2.0,4.0,4,18,1.0,9.0,50,13,1,3,3,8.0,3,0
46.0,Female,Single,Marketing,Executive,5.0,18410.0,52,3.0,13,6,1.0,4.0,1,15,0.0,4.0,56,16,4,1,1,44.0,4,0
32.0,Female,Married,Finance,Manager,4.0,,38,3.0,2,3,,5.0,1,61,0.0,6.0,48,7,1,4,3,41.0,1,0
22.0,,Single,Finance,Analyst,2.0,14495.0,98,9.0,2,0,1.0,2.0,2,28,0.0,5.0,51,15,3,4,4,11.0,4,0
58.51840429,Male,Divorced,Sales,Executive,3.0,,38,4.0,2,3,1.0,3.0,2,97,0.0,6.0,49,10,1,4,1,35.0,3,0
25.0,Female,Married,IT,Executive,5.0,13909.0,84,20.0,2,3,1.0,2.0,2,91,1.0,3.757551938,31,4,2,1,4,,1,0
27.0,Male,Divorced,Marketing,Analyst,1.0,,39,17.0,8,0,2.0,1.0,1,33,0.0,5.0,33,11,4,4,3,14.0,2,1
46.0,Female,Divorced,Finance,Manager,4.0,16791.0,95,28.0,6,8,2.0,3.0,4,80,1.0,7.0,50,14,4,1,3,43.0,4,0
28.0,Male,Divorced,Marketing,Executive,5.0,7533.0,95,7.0,9,7,4.0,5.0,1,3,0.0,4.0,35,11,1,3,1,,3,0
56.0,Male,Single,Sales,Analyst,2.0,18491.0,83,29.0,2,8,3.0,3.0,2,54,0.0,5.0,46,10,4,3,1,48.0,2,0
52.0,Male,Single,HR,Analyst,3.0,19907.0,31,26.0,13,6,2.0,3.0,2,51,1.0,6.0,58,3,3,3,4,49.0,4,0
43.0,Male,Single,Finance,Assistant,1.0,,72,13.0,1,4,3.0,2.0,2,97,0.0,9.594183531,52,12,3,4,2,15.0,1,0
34.0,,Single,Sales,Executive,4.0,13130.0,87,25.0,14,6,1.0,1.0,2,29,,9.0,30,19,2,3,2,40.0,2,1
51.0,Female,Married,Marketing,Executive,2.0,4204.0,34,28.0,8,1,1.0,3.0,1,58,,9.0,59,15,3,4,1,48.0,4,0
51.0,Male,Single,,Assistant,5.0,7082.0,16,24.62957593,10,9,1.0,1.0,2,63,0.0,1.0,49,7,2,3,1,23.0,4,1
43.0,Female,Married,Sales,Analyst,5.0,6334.0,97,12.0,14,6,1.0,1.0,4,37,1.0,3.0,58,19,4,1,1,15.0,2,0
31.0,Female,Divorced,Sales,Analyst,4.0,3711.0,23,18.0,13,3,3.0,2.0,4,29,0.0,2.0,39,11,1,4,2,45.0,1,0
58.0,Male,Married,Sales,Executive,3.0,12104.0,77,22.0,3,4,4.0,2.0,1,94,0.0,6.0,33,4,2,4,4,2.0,1,0
22.0,Female,Married,Sales,Assistant,4.0,12926.0,82,26.0,8,1,1.0,5.0,3,95,1.0,2.0,45,2,3,2,4,23.0,3,0
56.0,Female,Single,IT,Executive,4.0,18977.0,20,15.0,5,4,4.0,3.0,3,55,1.0,7.0,54,0,3,1,2,,2,0
36.0,Male,Single,Marketing,Executive,5.0,13328.0,25,,8,1,4.0,5.0,1,97,1.0,1.0,54,15,1,1,2,31.0,1,0
21.0,Male,Married,HR,Manager,4.0,3331.0,35,24.0,2,9,1.0,2.0,2,81,0.0,4.0,48,2,1,1,2,22.0,1,0
21.0,Male,Married,Marketing,Assistant,1.0,,77,1.0,10,5,4.0,5.0,4,5,0.0,1.0,56,16,3,1,3,6.0,1,1
47.0,Male,Divorced,Finance,Analyst,1.0,6834.0,44,9.0,9,9,2.0,5.0,2,2,,1.0,44,3,1,2,1,47.0,3,1
42.65108043,Female,Divorced,Finance,Executive,2.0,19177.0,96,9.0,2,7,1.0,5.0,4,39,0.0,7.0,33,2,4,4,4,12.0,3,1
56.0,Female,Divorced,Marketing,Analyst,4.0,,35,13.0,9,6,4.0,1.0,4,77,1.0,5.0,30,0,4,2,4,26.0,1,0
51.0,Female,Divorced,Sales,Executive,5.0,,37,11.0,10,4,3.0,5.0,4,37,1.0,8.0,46,5,1,1,1,10.0,2,1
52.0,Female,Divorced,IT,Manager,2.0,8804.0,75,28.1685988,6,2,4.0,2.0,4,16,0.0,2.0,48,10,3,4,2,12.0,3,0
38.0,Female,Divorced,Sales,Assistant,5.0,3252.0,60,,12,1,2.0,5.0,4,26,0.0,9.0,43,5,1,3,1,18.0,1,0
21.0,Male,Married,Marketing,Analyst,3.0,12190.0,74,29.0,5,5,1.0,5.0,4,36,1.0,3.0,38,4,3,2,1,5.0,3,0
45.0,Female,Divorced,,Manager,2.0,,32,9.0,7,7,4.0,2.0,2,25,0.0,6.0,44,4,2,4,3,15.0,1,0
51.0,Female,Single,IT,,1.0,8827.0,76,29.0,14,7,2.0,3.0,4,77,1.0,9.0,42,17,3,3,3,28.0,2,0
25.0,Female,Divorced,IT,Manager,5.0,11484.0,59,5.0,7,8,,2.0,2,59,0.0,3.0,38,9,4,4,4,9.0,4,0
23.0,Female,Married,Sales,Executive,2.0,17351.0,73,27.0,7,9,2.0,2.0,1,87,0.0,6.575101719,42,14,2,3,4,,3,0
30.0,Female,Divorced,Sales,,5.0,19420.0,49,16.0,3,5,3.0,3.0,3,20,1.0,1.0,59,14,3,4,3,21.0,4,0
36.0,Male,Married,Sales,Executive,5.0,4444.0,36,2.0,3,1,1.0,2.0,3,64,1.0,8.0,40,4,1,1,3,27.0,2,0
57.0,Female,Divorced,HR,Assistant,2.0,10793.0,38,15.0,7,9,2.0,1.0,2,61,,3.0,55,1,3,4,1,29.0,2,0
43.0,Male,Married,HR,,4.0,9677.0,65,17.0,1,3,2.0,1.0,1,41,1.0,8.0,34,5,4,4,3,43.0,2,1
24.0,Male,Divorced,Sales,Manager,2.0,10861.0,79,5.0,8,2,,2.0,1,95,0.0,1.0,55,9,4,2,1,42.0,1,1
53.0,,Divorced,Marketing,Analyst,5.0,16268.0,29,24.0,11,8,3.0,1.0,4,62,1.0,4.320880035,48,7,2,4,4,39.0,1,1
25.0,Female,Single,IT,Manager,2.0,13634.0,42,10.0,2,5,2.0,3.0,3,74,1.0,4.0,35,17,3,2,3,10.0,4,0
41.0,Male,Married,Finance,Analyst,5.0,9420.0,56,15.0,1,5,4.0,4.0,3,57,,8.0,32,12,4,1,2,40.0,2,0
30.0,Female,Married,IT,Manager,3.0,7378.0,34,,6,3,3.0,4.0,2,80,1.0,4.0,45,6,2,2,2,3.0,3,0
35.0,Female,Married,IT,Assistant,3.0,3998.0,57,4.0,4,5,1.0,3.0,4,61,0.0,4.0,47,18,2,4,1,4.0,2,0
52.0,Male,Married,Finance,Assistant,1.0,7302.0,94,4.0,7,0,4.0,5.0,1,66,1.0,7.0,39,3,4,2,2,49.0,2,0
28.0,Male,Married,Sales,Assistant,2.0,,83,24.0,12,8,4.0,5.0,3,28,0.0,8.0,32,8,3,3,3,34.0,4,0
